Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Piso en alquiler en Calle del Duque de Alba,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.485,90,Anuncio actualizado el 25/07/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,1,2,,,En buen estado,SA5186-ALBA,2ª,,,,
Piso en alquiler en Salamanca,Ibiza (Distrito Retiro. Madrid Capital),2.600,120,Anuncio actualizado el 19/10/2024,,,Alquiler,120 m²,,2,2,,Más de 50 años,,GM19-201344,,,,Exterior,
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),10.500,400,Anuncio actualizado el 22/10/2024,,,Alquiler,400 m²,,5,5,,,,GM19-192167,,,,Exterior,
Piso en alquiler en Calle de Nicasio Gallego,Trafalgar (Distrito Chamberí. Madrid Capital),3.690,140,Anuncio actualizado el 16/10/2024,Consumo:60 kWh/m² año,Emisiones:12 Kg CO₂/m² año,Alquiler,140 m²,,3,2,,,En buen estado,SA5186-BETAWI,5ª,,,,
Casa en alquiler en Parcelas,Mejorada del Campo,2.500,350,Anuncio actualizado el 23/10/2024,,,Alquiler,350 m²,315 m²,4,3,,Entre 10 y 20 años,,SA5061-00103/11014,,,920 m²,,
Piso en alquiler en Calle de O'Donnell,Ibiza (Distrito Retiro. Madrid Capital),4.040,118,Anuncio actualizado el 26/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,118 m²,,4,3,,,En buen estado,SA5186-SOFIA,6ª,,,,
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Augusto Figueroa",Justicia-Chueca (Distrito Centro. Madrid Capital),2.665,68,Anuncio actualizado el 18/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,68 m²,,2,1,,,En buen estado,SA5186-CAMINO,5ª,,,,
"Dúplex en alquiler en Calle de Juan Bravo, cerca de Calle de Serrano",Castellana (Distrito Salamanca. Madrid Capital),3.600,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,160 m²,2,2,,Más de 50 años,Reformado,996542-3640-VC,6ª,,,,
Piso en alquiler en Calle de Antonio Pérez,El Viso (Distrito Chamartín. Madrid Capital),1.700,75,Anuncio actualizado el 28/10/2024,,,Alquiler,75 m²,70 m²,1,1,,Entre 20 y 30 años,En buen estado,996542-3006-AM,2ª,,,,
"Apartamento en alquiler en Calle de Donoso Cortés, 56, cerca de Calle de Blasco de Garay",Gaztambide (Distrito Chamberí. Madrid Capital),2.500,67,Anuncio actualizado el 04/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,67 m²,67 m²,3,1,,Más de 50 años,En buen estado,4527206-DCS56,Bajo,,,,
"Piso en alquiler en Calle Orense, cerca de Calle de Rosario Pino",Castillejos (Distrito Tetuán. Madrid Capital),2.755,87,Anuncio actualizado el 09/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,87 m²,,2,1,,,En buen estado,SA5186-VILLA,9ª,,,,
Piso en alquiler en Calle de San Andrés,Justicia-Chueca (Distrito Centro. Madrid Capital),4.515,128,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,128 m²,,4,3,,,En buen estado,SA5186-BROTO,3ª,,,,
"Piso en alquiler en Calle de Claudio Coello, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),4.105,98,Anuncio actualizado el 20/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,98 m²,,3,2,,,En buen estado,SA5186-TAVIRA,2ª,,,,
"Piso en alquiler en Calle de Bretón de los Herreros, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.700,55,Anuncio actualizado el 17/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,55 m²,,2,2,,,En buen estado,SA5186-ORUSCO,3ª,,,,
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Zurbano",Almagro (Distrito Chamberí. Madrid Capital),6.500,430,Anuncio actualizado el 22/10/2024,,,Alquiler,430 m²,387 m²,4,5,,,Reformado,SA88-ALQATCALM,7ª,,,,
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Alcántara",Goya (Distrito Salamanca. Madrid Capital),3.185,140,Anuncio actualizado el 25/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140 m²,,1,2,,,En buen estado,SA5186-ARANDA,3ª,,,,
"Piso en alquiler en Calle de Zurbano, cerca de Calle de Málaga",Ríos Rosas (Distrito Chamberí. Madrid Capital),3.450,180,Anuncio actualizado el 23/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,180 m²,,2,3,,,En buen estado,SA5186-RETAMA,4ª,,,,
Piso en alquiler en Calle de Sandoval,Trafalgar (Distrito Chamberí. Madrid Capital),2.600,56,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,56 m²,,2,1,,,En buen estado,SA5186-PEPE,5ª,,,,
Piso en alquiler en Calle de Felisa Méndez,San Diego (Distrito Puente de Vallecas. Madrid Capital),895,40,Anuncio actualizado el 23/10/2024,,,Alquiler,40 m²,38 m²,1,2,,Más de 50 años,En buen estado,4519303-000566,3ª,Entre 40 y 60 €,,,
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.160,96,Anuncio actualizado el 26/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,96 m²,,2,2,,,En buen estado,SA5186-SOTO,3ª,,,,
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Covarrubias",Almagro (Distrito Chamberí. Madrid Capital),3.490,123,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,123 m²,,3,2,,,En buen estado,SA5186-AZANDE,7ª,,,,
Apartamento en alquiler en Chueca-Justicia,Justicia-Chueca (Distrito Centro. Madrid Capital),1.600,51,Anuncio actualizado el 18/10/2024,,,Alquiler,51 m²,50 m²,1,1,,,,IFC75943-APA_681,,,,,
"Dúplex en alquiler en Calle de Tremp, 12",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),3.000,270,Anuncio actualizado el 26/10/2024,Consumo:196 kWh/m² año,Emisiones:96 Kg CO₂/m² año,Alquiler,270 m²,227 m²,4,3,,Entre 10 y 20 años,En buen estado,SA3100-IS628,3ª,,,,
"Piso en alquiler en Calle del General Oráa, cerca de Calle Lagasca",Castellana (Distrito Salamanca. Madrid Capital),12.000,267,Anuncio actualizado el 27/10/2024,,,Alquiler,267 m²,260 m²,4,4,,Más de 50 años,En buen estado,SA88-ALQNZOGCICA,4ª,,,,
Piso en alquiler en Calle de Fortuny,Almagro (Distrito Chamberí. Madrid Capital),2.920,60,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,60 m²,,1,1,,,En buen estado,SA5186-BLU,2ª,,,,
"Piso en alquiler en Calle Orense, 28, cerca de Avenida del General Perón",Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.493,40,Anuncio actualizado el 18/09/2024,,,Alquiler,40 m²,40 m²,1,2,,,Reformado,4518087-Azca13,3ª,,,,
Casa en alquiler en Calle Conde Gaitanes,La Moraleja (La Moraleja),16.000,680,Anuncio actualizado el 21/10/2024,,,Alquiler,680 m²,670 m²,7,7,,Entre 5 y 10 años,,SA4389-MC03548/9935,,,,,
Piso en alquiler en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),8.000,240,Anuncio actualizado el 28/10/2024,,,Alquiler,240 m²,230 m²,3,4,,Entre 20 y 30 años,Reformado,996542-2673-VC,3ª,,,,
Piso en alquiler en Calle de Rafael Calvo,Almagro (Distrito Chamberí. Madrid Capital),3.450,145,Anuncio actualizado el 18/10/2024,Consumo:22 kWh/m² año,Emisiones:4 Kg CO₂/m² año,Alquiler,145 m²,,2,2,,,En buen estado,SA5186-SIRE,4ª,,,,
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),4.260,155,Anuncio actualizado el 28/10/2024,,,Alquiler,155 m²,130 m²,4,3,,Entre 30 y 50 años,Reformado,996542-1148-AG,3ª,,,,
Chalet pareado en alquiler en Calle Camino Ancho,La Moraleja (La Moraleja),6.500,362,Anuncio actualizado el 28/10/2024,,,Alquiler,362 m²,212 m²,8,8,,Entre 20 y 30 años,En buen estado,996542-3968-JB,,,501 m²,,
Piso en alquiler en Calle de Félix Boix,Nueva España (Distrito Chamartín. Madrid Capital),3.250,93,Anuncio actualizado el 15/07/2024,,,Alquiler,93 m²,,2,2,,,En buen estado,SA5186-SARTO,5ª,,,,
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3.300,85,Anuncio actualizado el 28/10/2024,,,Alquiler,85 m²,78 m²,2,2,,Menos de 5 años,A estrenar,996542-2112 AM,4ª,,,,
Piso en alquiler en Calle de Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4.500,120,Anuncio actualizado el 28/10/2024,,,Alquiler,120 m²,115 m²,2,3,,Más de 50 años,Reformado,996542-4015-AM,3ª,,,,
Piso en alquiler en Paseo de Eduardo Dato,Almagro (Distrito Chamberí. Madrid Capital),4.145,135,Anuncio actualizado el 22/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,135 m²,,3,2,,,En buen estado,SA5186-ARGENTO,3ª,,,,
"Apartamento en alquiler en Paseo de la Habana, cerca de Calle de Balbina Valverde",El Viso (Distrito Chamartín. Madrid Capital),2.000,57,Anuncio actualizado el 16/10/2024,,,Alquiler,57 m²,45 m²,1,1,,Entre 30 y 50 años,En buen estado,SA92-105197/EV,6ª,,,,
Piso en alquiler en Calle de Ayala,Goya (Distrito Salamanca. Madrid Capital),3.450,100,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100 m²,,2,2,,,En buen estado,SA5186-RUMI,5ª,,,,
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.390,140,Anuncio actualizado el 25/08/2024,Consumo:134 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140 m²,,3,2,,,En buen estado,SA5186-SENJO,2ª,,,,
"Ático en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.675,82,Anuncio actualizado el 27/10/2024,,,Alquiler,82 m²,78 m²,1,1,,,En buen estado,SA88-ALQGVPA20AAE,6ª,,,,
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),4.030,120,Anuncio actualizado el 15/07/2024,Consumo:180 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120 m²,,2,2,,,En buen estado,SA5186-TAKAO,4ª,,,,
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle del Conde de Peñalver",Goya (Distrito Salamanca. Madrid Capital),3.830,140,Anuncio actualizado el 02/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140 m²,,2,2,,,En buen estado,SA5186-LIBRANDI,4ª,,,,
Apartamento en alquiler en Plaza de Manolete,Hispanoamérica (Distrito Chamartín. Madrid Capital),1.750,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,65 m²,1,1,,,Reformado,996542-4004-D,15ª,,,,
"Apartamento en alquiler en Calle de Donoso Cortés, cerca de Calle de Galileo",Arapiles (Distrito Chamberí. Madrid Capital),1.800,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,57 m²,2,1,,Más de 50 años,En buen estado,996542-4035-AM,Bajo,,,,
"Piso en alquiler en Calle del Doctor Fléming, cerca de Calle de José Lázaro Galdiano",Hispanoamérica (Distrito Chamartín. Madrid Capital),3.000,157,Anuncio actualizado el 03/10/2024,,,Alquiler,157 m²,140 m²,4,3,,Más de 50 años,En buen estado,SA92-106781/EV,9ª,,,,
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3.200,100,Anuncio actualizado el 23/10/2024,,,Alquiler,100 m²,90 m²,2,2,,,A estrenar,SA88-Alqgvpab,4ª,,,,
Piso en alquiler en Chamartín,Palacio (Distrito Centro. Madrid Capital),4.500,244,Anuncio actualizado el 28/10/2024,,,Alquiler,244 m²,,5,4,,Más de 50 años,,GM19-193286,,,,Exterior,
Apartamento en alquiler en Castellana,Ríos Rosas (Distrito Chamberí. Madrid Capital),925,55,Anuncio actualizado el 28/10/2024,,,Alquiler,55 m²,45 m²,1,1,,Más de 50 años,,SA770-03160/2524,Bajo,,,,
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Ayala",Goya (Distrito Salamanca. Madrid Capital),2.600,60,Anuncio actualizado el 25/10/2024,,,Alquiler,60 m²,55 m²,2,2,,,En buen estado,3623-199358,5ª,,,,
Apartamento en alquiler en Calle de Santa Catalina,Cortes-Huertas (Distrito Centro. Madrid Capital),1.900,72,Anuncio actualizado el 28/10/2024,,,Alquiler,72 m²,70 m²,1,1,,Entre 30 y 50 años,En buen estado,996542-336-DG,5ª,,,,
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.360,90,Anuncio actualizado el 06/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,2,2,,,En buen estado,SA5186-EKONDA,6ª,,,,
Piso en alquiler en Avenida de las Vascongadas,Juan de la Cierva (Getafe),1.250,65,Anuncio actualizado el 21/08/2024,,,Alquiler,65 m²,60 m²,3,1,,Entre 20 y 30 años,Reformado,4524941-A-024,2ª,,,,
"Piso en alquiler en Calle de José Abascal, cerca de Calle de Alonso Cano",Almagro (Distrito Chamberí. Madrid Capital),3.200,107,Anuncio actualizado el 28/10/2024,,,Alquiler,107 m²,103 m²,2,2,,Más de 50 años,En buen estado,996542-3850-AM,7ª,,,,
Piso en alquiler en Calle de Fernando 'El Santo',Almagro (Distrito Chamberí. Madrid Capital),3.910,130,Anuncio actualizado el 30/09/2024,Consumo:133 kWh/m² año,Emisiones:28 Kg CO₂/m² año,Alquiler,130 m²,,2,2,,,En buen estado,SA5186-DERJ,2ª,,,,
Piso en alquiler en Plaza de Olavide,Trafalgar (Distrito Chamberí. Madrid Capital),3.875,115,Anuncio actualizado el 01/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,115 m²,,2,2,,,En buen estado,SA5186-BUDU,7ª,,,,
"Piso en alquiler en Paseo de la Castellana, cerca de Calle de Carbonero y Sol",Nueva España (Distrito Chamartín. Madrid Capital),4.500,218,Anuncio actualizado el 28/10/2024,,,Alquiler,218 m²,200 m²,2,2,,Más de 50 años,Reformado,996542-3486-JB,7ª,,,,
Piso en alquiler en Paseo de la Reina Cristina,Atocha (Distrito Arganzuela. Madrid Capital),3.730,115,Anuncio actualizado el 01/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,115 m²,,3,2,,,En buen estado,SA5186-JILGUERO,6ª,,,,
"Piso en alquiler en Calle del General Oráa, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),1.800,43,Anuncio actualizado el 22/10/2024,,,Alquiler,43 m²,,2,1,,Más de 50 años,Reformado,SA88-ALQNZOJMG6,3ª,,,,
"Piso en alquiler en Calle del General Pardiñas, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),2.995,80,Anuncio actualizado el 02/09/2024,Consumo:51 kWh/m² año,Emisiones:244 Kg CO₂/m² año,Alquiler,80 m²,,2,2,,,En buen estado,SA5186-TAZROUK,1ª,,,,
Piso en alquiler en Calle del Marqués de la Ensenada,Justicia-Chueca (Distrito Centro. Madrid Capital),6.850,206,Anuncio actualizado el 19/10/2024,,,Alquiler,206 m²,200 m²,2,3,,,Reformado,SA88-ALQSQPEMP,11ª,,,,
"Dúplex en alquiler en Calle del Cardenal Mendoza, cerca de Calle de Antonio Zamora",Puerta del Ángel (Distrito Latina. Madrid Capital),1.800,130,Anuncio actualizado el 21/10/2024,Consumo:177 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,130 m²,80 m²,3,1,,Más de 50 años,En buen estado,SA3100-IS655,,,,,
Dúplex en alquiler en Plaza de la República Argentina,El Viso (Distrito Chamartín. Madrid Capital),4.100,126,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,126 m²,,2,2,,,En buen estado,SA5186-FORMIA,2ª,,,,
Piso en alquiler en Calle de Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),2.830,100,Anuncio actualizado el 31/07/2024,Consumo:216 kWh/m² año,Emisiones:45 Kg CO₂/m² año,Alquiler,100 m²,,2,2,,,En buen estado,SA5186-RAJA,2ª,,,,
"Dúplex en alquiler en Calle de San Martín de Porres, 41",Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1.500,40,Anuncio actualizado el 22/03/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,40 m²,40 m²,2,1,,Más de 50 años,En buen estado,4527206-SMP41,Bajo,,,,
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Churruca",Justicia-Chueca (Distrito Centro. Madrid Capital),2.800,85,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,85 m²,,1,1,,,En buen estado,SA5186-KITA,5ª,,,,
"Piso en alquiler en Calle de Serrano, cerca de Calle de Maldonado",Castellana (Distrito Salamanca. Madrid Capital),4.125,125,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,125 m²,,3,2,,,En buen estado,SA5186-YAKA,3ª,,,,
Chalet en alquiler en Calle Bellatrix,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),8.500,650,Anuncio actualizado el 28/10/2024,,,Alquiler,650 m²,600 m²,6,7,,Entre 20 y 30 años,Reformado,996542-4225 - AM,,,800 m²,,
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4.805,113,Anuncio actualizado el 20/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,113 m²,,3,3,,,En buen estado,SA5186-HOYA,6ª,,,,
"Piso en alquiler en Calle de Francisco Silvela, cerca de Calle del General Oráa",Lista (Distrito Salamanca. Madrid Capital),2.400,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,48 m²,2,2,,Más de 50 años,Reformado,4528286-Alquiler - Calle Francisco Silvela,1ª,,,,
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Medellín",Almagro (Distrito Chamberí. Madrid Capital),3.100,99,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,99 m²,,2,2,,,En buen estado,SA5186-UJUE,6ª,,,,
Piso en alquiler en Calle de Rafael Bergamín,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),A,95,Anuncio actualizado el 28/10/2024,,,Alquiler,95 m²,72 m²,2,2,,Entre 20 y 30 años,Reformado,4528963-000003,11ª,,,,
Piso en alquiler en Calle de Cádiz,Las Dehesillas-Vereda de los Estudiantes (Leganés),1.250,123,Anuncio actualizado el 03/10/2024,,,Alquiler,123 m²,100 m²,3,2,,Entre 20 y 30 años,En buen estado,SA292-314,2ª,,,,
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de José Ortega y Gasset",Goya (Distrito Salamanca. Madrid Capital),3.535,100,Anuncio actualizado el 26/09/2024,Consumo:321 kWh/m² año,Emisiones:79 Kg CO₂/m² año,Alquiler,100 m²,,3,2,,,En buen estado,SA5186-AGADEZ,4ª,,,,
"Piso en alquiler en Calle del Poeta Joan Maragall, cerca de Calle de San Germán",Castillejos (Distrito Tetuán. Madrid Capital),3.825,152,Anuncio actualizado el 16/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,152 m²,,4,3,,,En buen estado,SA5186-ARZANO,8ª,,,,
"Piso en alquiler en Calle Castelló, cerca de Calle de Juan Bravo",Castellana (Distrito Salamanca. Madrid Capital),4.175,177,Anuncio actualizado el 03/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,177 m²,,4,2,,,En buen estado,SA5186-PAZ,3ª,,,,
Piso en alquiler en Piovera,Piovera (Distrito Hortaleza. Madrid Capital),2.500,86,Anuncio actualizado el 11/10/2024,Consumo:2978 kWh/m² año,Emisiones:596 Kg CO₂/m² año,Alquiler,86 m²,70 m²,2,2,,Menos de 5 años,,SA4155-9635000991/9635,1ª,,,,
Piso en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),1.495,69,Anuncio actualizado el 22/10/2024,Consumo:999 kWh/m² año,Emisiones:999 Kg CO₂/m² año,Alquiler,69 m²,59 m²,1,1,,Entre 30 y 50 años,En buen estado,SA3124-11860 CALLE MAIQUEZ,1ª,,,,
"Piso en alquiler en Calle de Alcántara, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),2.920,100,Anuncio actualizado el 15/07/2024,,,Alquiler,100 m²,,2,2,,,En buen estado,SA5186-RAMSAR,1ª,,,,
Piso en alquiler en Calle del Marqués del Duero,Justicia-Chueca (Distrito Centro. Madrid Capital),2.485,50,Anuncio actualizado el 11/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,50 m²,,1,1,,,En buen estado,SA5186-AYLLON,5ª,,,,
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),12.000,400,Anuncio actualizado el 28/10/2024,,,Alquiler,400 m²,390 m²,4,5,,Entre 10 y 20 años,Reformado,996542- 2693-VC,2ª,,,,
Piso en alquiler en Calle Sevilla,Sol (Distrito Centro. Madrid Capital),12.500,220,Anuncio actualizado el 28/10/2024,,,Alquiler,220 m²,200 m²,2,2,,,En buen estado,996542-2981-AM,6ª,,,,
Piso en alquiler en Calle de San Andrés,Universidad-Malasaña (Distrito Centro. Madrid Capital),4.020,108,Anuncio actualizado el 22/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,108 m²,,3,3,,,En buen estado,SA5186-ALBERO,2ª,,,,
"Ático en alquiler en Calle Lagasca, cerca de Calle de María de Molina",Castellana (Distrito Salamanca. Madrid Capital),4.900,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,160 m²,4,2,,Más de 50 años,Reformado,996542-1324-VC,8ª,,,,
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Bravo Murillo",Trafalgar (Distrito Chamberí. Madrid Capital),2.425,65,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,65 m²,,1,1,,,En buen estado,SA5186-FAVOLA,1ª,,,,
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Maldonado",Castellana (Distrito Salamanca. Madrid Capital),4.065,150,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,150 m²,,3,2,,,En buen estado,SA5186-SUMATRA,2ª,,,,
Piso en alquiler en Calle de Silva,Universidad-Malasaña (Distrito Centro. Madrid Capital),2.385,67,Anuncio actualizado el 18/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,67 m²,,1,1,,,En buen estado,SA5186-GRECO,5ª,,,,
Piso en alquiler en Calle de Almagro,Almagro (Distrito Chamberí. Madrid Capital),3.080,53,Anuncio actualizado el 09/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,53 m²,,1,1,,,En buen estado,SA5186-MAKERE,3ª,,,,
Piso en alquiler en Calle de San Andrés,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.465,108,Anuncio actualizado el 16/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,108 m²,,3,3,,,En buen estado,SA5186-POSETS,1ª,,,,
Piso en alquiler en Cercedilla,Cercedilla,850,120,Anuncio actualizado el 28/10/2024,,,Alquiler,120 m²,110 m²,4,1,,,En buen estado,4993204-13392804,1ª,,,,
Piso en alquiler en Calle de Josep Plá,El Viso (Distrito Chamartín. Madrid Capital),2.960,75,Anuncio actualizado el 18/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,75 m²,,2,2,,,En buen estado,SA5186-ANKU,7ª,,,,
Piso en alquiler en Calle de Sagasta,Almagro (Distrito Chamberí. Madrid Capital),4.600,195,Anuncio actualizado el 28/10/2024,,,Alquiler,195 m²,185 m²,3,3,,Entre 30 y 50 años,Reformado,996542-4025-jg,1ª,,,,A patio manzana
Piso en alquiler en Madrid,Castellana (Distrito Salamanca. Madrid Capital),4.150,203,Anuncio actualizado el 27/10/2024,,,Alquiler,203 m²,,5,4,,,En buen estado,SA88-ALQSQJL,5ª,,,,
"Piso en alquiler en Calle de la Palma, cerca de Calle de San Vicente Ferrer",Universidad-Malasaña (Distrito Centro. Madrid Capital),3.005,75,Anuncio actualizado el 30/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,75 m²,,2,3,,,En buen estado,SA5186-PUKA,4ª,,,,
"Piso en alquiler en Calle de Alonso Cano, cerca de Paseo del General Martínez Campos",Trafalgar (Distrito Chamberí. Madrid Capital),2.305,41,Anuncio actualizado el 07/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,41 m²,,1,1,,,En buen estado,SA5186-GIORGIO,2ª,,,,
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Monteleón",Trafalgar (Distrito Chamberí. Madrid Capital),3.225,95,Anuncio actualizado el 19/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95 m²,,2,2,,,En buen estado,SA5186-NOCERA,5ª,,,,
Piso en alquiler en Calle de Téllez,Pacífico (Distrito Retiro. Madrid Capital),1.800,86,Anuncio actualizado el 25/10/2024,,,Alquiler,86 m²,,2,2,,Entre 20 y 30 años,En buen estado,SA3986-Retiro- Tellez Urb,6ª,,,,
Piso en alquiler en Calle de Manuel Silvela,Trafalgar (Distrito Chamberí. Madrid Capital),2.740,100,Anuncio actualizado el 20/09/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100 m²,,3,2,,,En buen estado,SA5186-KIBALE,2ª,,,,
"Ático en alquiler en Calle del General Díaz Porlier, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),2.300,109,Anuncio actualizado el 28/10/2024,,,Alquiler,109 m²,100 m²,1,1,,Más de 50 años,Reformado,996542-4060-JG,6ª,,,,
